"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"41","Regency Beauty Institute-Metro Center",14639,22342,"Regency Beauty Institute-Metro Center",14639,22342,"Regency Beauty Institute-Metro Center",14639,22342,"Regency Beauty Institute-Metro Center",14639,22342,"Regency Beauty Institute-Metro Center",14639,22342,"Regency Beauty Institute-Metro Center",14639,22342
"42","Studio Academy of Beauty",2740,9265,"Studio Academy of Beauty",2740,9265,"Studio Academy of Beauty",2740,9265,"Studio Academy of Beauty",2740,9265,"Studio Academy of Beauty",2740,9265,"Studio Academy of Beauty",2740,9265
"43","Argosy University-Phoenix Online Division",2581,9410,"Argosy University-Phoenix Online Division",2581,9410,"Argosy University-Phoenix Online Division",2581,9410,"Argosy University-Phoenix Online Division",2581,9410,"Argosy University-Phoenix Online Division",2581,9410,"Argosy University-Phoenix Online Division",2581,9410
"44","Pima Medical Institute-East Valley",2456,5481,"Pima Medical Institute-East Valley",2456,5481,"Pima Medical Institute-East Valley",2456,5481,"Pima Medical Institute-East Valley",2456,5481,"Pima Medical Institute-East Valley",2456,5481,"Pima Medical Institute-East Valley",2456,5481
"45","Arizona School of Acupuncture and Oriental Medicine",4846,14885,"Arizona School of Acupuncture and Oriental Medicine",4846,14885,"Arizona School of Acupuncture and Oriental Medicine",4846,14885,"Arizona School of Acupuncture and Oriental Medicine",4846,14885,"Arizona School of Acupuncture and Oriental Medicine",4846,14885,"Arizona School of Acupuncture and Oriental Medicine",4846,14885
"46","Maricopa Skill Center",4112,1792,"Maricopa Skill Center",4112,1792,"Maricopa Skill Center",4112,1792,"Maricopa Skill Center",4112,1792,"Maricopa Skill Center",4112,1792,"Maricopa Skill Center",4112,1792
"47","Conservatory of Recording Arts and Sciences",2511,5993,"Conservatory of Recording Arts and Sciences",2511,5993,"Conservatory of Recording Arts and Sciences",2511,5993,"Conservatory of Recording Arts and Sciences",2511,5993,"Conservatory of Recording Arts and Sciences",2511,5993,"Conservatory of Recording Arts and Sciences",2511,5993
"48","Carrington College-Westside",5115,13764,"Carrington College-Westside",5115,13764,"Carrington College-Westside",5115,13764,"Carrington College-Westside",5115,13764,"Carrington College-Westside",5115,13764,"Carrington College-Westside",5115,13764
"49","Carsten Institute of Cosmetology",11139,18499,"Carsten Institute of Cosmetology",11139,18499,"Carsten Institute of Cosmetology",11139,18499,"Carsten Institute of Cosmetology",11139,18499,"Carsten Institute of Cosmetology",11139,18499,"Carsten Institute of Cosmetology",11139,18499
"50","Brookline College-Tucson",7824,20795,"Brookline College-Tucson",7824,20795,"Brookline College-Tucson",7824,20795,"Brookline College-Tucson",7824,20795,"Brookline College-Tucson",7824,20795,"Brookline College-Tucson",7824,20795
"51","Cortiva Institute-Scottsdale",5427,7936,"Cortiva Institute-Scottsdale",5427,7936,"Cortiva Institute-Scottsdale",5427,7936,"Cortiva Institute-Scottsdale",5427,7936,"Cortiva Institute-Scottsdale",5427,7936,"Cortiva Institute-Scottsdale",5427,7936
"52","Roberto-Venn School of Luthiery",9626,10458,"Roberto-Venn School of Luthiery",9626,10458,"Roberto-Venn School of Luthiery",9626,10458,"Roberto-Venn School of Luthiery",9626,10458,"Roberto-Venn School of Luthiery",9626,10458,"Roberto-Venn School of Luthiery",9626,10458
"53","Scottsdale Community College",6584,2294,"Scottsdale Community College",6584,2294,"Scottsdale Community College",6584,2294,"Scottsdale Community College",6584,2294,"Scottsdale Community College",6584,2294,"Scottsdale Community College",6584,2294
"54","University of Arizona",12071,12441,"University of Arizona",12071,12441,"University of Arizona",12071,12441,"University of Arizona",12071,12441,"University of Arizona",12071,12441,"University of Arizona",12071,12441
"55","Tucson College",3443,12540,"Tucson College",3443,12540,"Tucson College",3443,12540,"Tucson College",3443,12540,"Tucson College",3443,12540,"Tucson College",3443,12540
"56","Brown Mackie College-Tucson",3883,10380,"Brown Mackie College-Tucson",3883,10380,"Brown Mackie College-Tucson",3883,10380,"Brown Mackie College-Tucson",3883,10380,"Brown Mackie College-Tucson",3883,10380,"Brown Mackie College-Tucson",3883,10380
"57","Cortiva Institute-Tucson",3265,7758,"Cortiva Institute-Tucson",3265,7758,"Cortiva Institute-Tucson",3265,7758,"Cortiva Institute-Tucson",3265,7758,"Cortiva Institute-Tucson",3265,7758,"Cortiva Institute-Tucson",3265,7758
"58","Empire Beauty School-Tucson",6111,8029,"Empire Beauty School-Tucson",6111,8029,"Empire Beauty School-Tucson",6111,8029,"Empire Beauty School-Tucson",6111,8029,"Empire Beauty School-Tucson",6111,8029,"Empire Beauty School-Tucson",6111,8029
"59","American Institute of Technology",5458,7854,"American Institute of Technology",5458,7854,"American Institute of Technology",5458,7854,"American Institute of Technology",5458,7854,"American Institute of Technology",5458,7854,"American Institute of Technology",5458,7854
"60","South Mountain Community College",5705,982,"South Mountain Community College",5705,982,"South Mountain Community College",5705,982,"South Mountain Community College",5705,982,"South Mountain Community College",5705,982,"South Mountain Community College",5705,982
"61","ITT Technical Institute-Tempe",1925,19621,"ITT Technical Institute-Tempe",1925,19621,"ITT Technical Institute-Tempe",1925,19621,"ITT Technical Institute-Tempe",1925,19621,"ITT Technical Institute-Tempe",1925,19621,"ITT Technical Institute-Tempe",1925,19621
